------------------------------------------------------------------------------
|      Name|   Arrival|     Burst|     Start|    Finish|   Waiting|TurnAround|
|       160|       166|       250|     29482|     65288|     64872|     65122|
|       150|       168|       183|     29732|     37371|     37020|     37203|
|        73|       169|       137|     29915|     21513|     21207|     21344|
|        87|       169|       347|     30052|    124021|    123505|    123852|
|       132|       169|        73|     30399|      5770|      5528|      5601|
|       128|       170|       370|     30472|    139078|    138538|    138908|
|       144|       170|       459|     30842|    210397|    209768|    210227|
|        74|       171|       103|     31301|     11329|     11055|     11158|
|        90|       174|       373|     31404|    142792|    142245|    142618|
|       115|       174|       190|     31777|     40361|     39997|     40187|
|        81|       175|       464|     31967|    214083|    213444|    213908|
|        82|       175|       250|     32431|     65538|     65113|     65363|
|       141|       178|       309|     32681|     98502|     98015|     98324|
|       158|       178|       299|     32990|     90312|     89835|     90134|
|       175|       178|        99|     33289|     10216|      9939|     10038|
|       177|       178|        75|     33388|      6140|      5887|      5962|
|       140|       179|       328|     33463|    112219|    111712|    112040|
|       124|       180|       145|     33791|     23926|     23601|     23746|
|       170|       180|       263|     33936|     70939|     70496|     70759|
|       111|       181|        21|     34199|       355|       153|       174|
|       103|       182|       309|     34220|     98811|     98320|     98629|
|       139|       183|       232|     34529|     55638|     55223|     55455|
|       152|       184|       466|     34761|    215479|    214829|    215295|
|        92|       187|       310|     35227|    100666|    100169|    100479|
|       123|       189|       302|     35537|     92412|     91921|     92223|
|       148|       189|       229|     35839|     54481|     54063|     54292|
|       138|       190|       434|     36068|    192976|    192352|    192786|
|       131|       191|       296|     36502|     87933|     87446|     87742|
|       151|       192|        64|     36798|      4107|      3851|      3915|
|       129|       193|       309|     36862|     99120|     98618|     98927|
|       112|       194|       214|     37171|     48690|     48282|     48496|
|       161|       194|       186|     37385|     38109|     37729|     37915|
|       108|       195|       496|     37571|    239623|    238932|    239428|
|       130|       197|       141|     38067|     22210|     21872|     22013|
|       188|       197|       461|     38208|    212695|    212037|    212498|
|       149|       198|       289|     38669|     83834|     83347|     83636|
|       165|       199|        14|     38958|       294|        81|        95|
|       114|       203|       125|     38972|     16960|     16632|     16757|
|       172|       204|       228|     39097|     54252|     53820|     54048|
|       107|       205|       481|     39325|    225917|    225231|    225712|
|       168|       206|       141|     39806|     22351|     22004|     22145|
|       142|       207|       323|     39947|    107334|    106804|    107127|
|       164|       210|        27|     40270|       779|       542|       569|
|       186|       210|       133|     40297|     20702|     20359|     20492|
|       174|       212|        98|     40430|     10019|      9709|      9807|
|       126|       216|       297|     40528|     89119|     88606|     88903|
|       153|       218|       191|     40825|     40742|     40333|     40524|
|       182|       218|        56|     41016|      3443|      3169|      3225|
|       190|       218|        45|     41072|      2135|      1872|      1917|
|       156|       219|       370|     41117|    139448|    138859|    139229|
|       155|       221|       305|     41487|     95441|     94915|     95220|
|       173|       221|       470|     41792|    217821|    217130|    217600|
|       181|       221|       390|     42262|    156137|    155526|    155916|
|       222|       221|       147|     42652|     24364|     23996|     24143|
|       147|       224|       320|     42799|    104444|    103900|    104220|
|       187|       225|       351|     43119|    126463|    125887|    126238|
|       136|       226|        82|     43470|      7085|      6777|      6859|
|       191|       226|       244|     43552|     61338|     60868|     61112|
|       218|       226|       188|     43796|     39416|     39002|     39190|
|       135|       227|       384|     43984|    151487|    150876|    151260|
|       209|       227|       143|     44368|     22918|     22548|     22691|
|       198|       228|       206|     44511|     45323|     44889|     45095|
|       224|       228|       127|     44717|     17967|     17612|     17739|
|       184|       230|       273|     44844|     77113|     76610|     76883|
|       214|       230|        35|     45117|      1620|      1355|      1390|
|       185|       232|       295|     45152|     87342|     86815|     87110|
|       195|       232|       258|     45447|     68592|     68102|     68360|
|       211|       233|       103|     45705|     11432|     11096|     11199|
|       221|       233|       177|     45808|     33952|     33542|     33719|
|       226|       233|       417|     45985|    175981|    175331|    175748|
|       205|       235|        56|     46402|      3499|      3208|      3264|
|       166|       236|       374|     46458|    143912|    143302|    143676|
|       215|       236|       112|     46832|     13267|     12919|     13031|
|       162|       238|       203|     46944|     44094|     43653|     43856|
|       189|       241|       140|     47147|     21929|     21548|     21688|
|       233|       241|        10|     47287|       269|        18|        28|
|       208|       243|       122|     47297|     15974|     15609|     15731|
|       225|       243|       122|     47419|     16096|     15731|     15853|
|       240|       243|       220|     47541|     49780|     49317|     49537|
|       231|       245|       306|     47761|     96967|     96416|     96722|
|       238|       245|       495|     48067|    236651|    235911|    236406|
|       163|       246|        24|     48562|       439|       169|       193|
|       216|       246|       299|     48586|     90611|     90066|     90365|
|       199|       248|        64|     48885|      4171|      3859|      3923|
|       154|       249|       419|     48949|    177652|    176984|    177403|
|       176|       249|       346|     49368|    123328|    122733|    123079|
|       219|       249|       242|     49714|     60125|     59634|     59876|
|       250|       249|       391|     49956|    158089|    157449|    157840|
|       157|       250|       311|     50347|    101287|    100726|    101037|
|       223|       250|       190|     50658|     40551|     40111|     40301|
|       171|       251|       426|     50848|    185246|    184569|    184995|
|       193|       251|       262|     51274|     70413|     69900|     70162|
|       201|       251|        23|     51536|       395|       121|       144|
|       180|       252|       264|     51559|     71466|     70950|     71214|
|       249|       252|        97|     51823|      9727|      9378|      9475|
|       202|       253|        95|     51920|      9630|      9282|      9377|
|       206|       253|       465|     52015|    214548|    213830|    214295|
|       167|       254|       390|     52480|    156527|    155883|    156273|
|       169|       254|       329|     52870|    112876|    112293|    112622|
|       239|       254|       309|     53199|     99429|     98866|     99175|
|       183|       258|       321|     53508|    106046|    105467|    105788|
|       204|       259|       380|     53829|    148815|    148176|    148556|
|       241|       261|        18|     54209|       334|        55|        73|
|       178|       264|       242|     54227|     60367|     59861|     60103|
|       192|       266|       465|     54469|    215013|    214282|    214747|
