------------------------------------------------------------------------------
|      Name|   Arrival|     Burst|     Start|    Finish|   Waiting|TurnAround|
|       119|       164|       273|     29209|     76840|     29202|     29475|
|       160|       166|       250|     29482|     65288|     29475|     29725|
|       150|       168|       183|     29732|     37160|     29725|     29908|
|        73|       169|       137|     29915|     21302|     29908|     30045|
|        87|       169|       347|     30052|    124021|     30045|     30392|
|       132|       169|        73|     30399|      5559|     30392|     30465|
|       128|       170|       370|     30472|    139078|     30465|     30835|
|       144|       170|       459|     30842|    210397|     30835|     31294|
|        74|       171|       103|     31301|     11118|     31294|     31397|
|        90|       174|       373|     31404|    142792|     31397|     31770|
|       115|       174|       190|     31777|     40150|     31770|     31960|
|        81|       175|       464|     31967|    214083|     31960|     32424|
|        82|       175|       250|     32431|     65538|     32424|     32674|
|       141|       178|       309|     32681|     98502|     32674|     32983|
|       158|       178|       299|     32990|     90312|     32983|     33282|
|       175|       178|        99|     33289|     10005|     33282|     33381|
|       177|       178|        75|     33388|      5929|     33381|     33456|
|       140|       179|       328|     33463|    112219|     33456|     33784|
|       124|       180|       145|     33791|     23715|     33784|     33929|
|       170|       180|       263|     33936|     70939|     33929|     34192|
|       111|       181|        21|     34199|       229|     34192|     34213|
|       103|       182|       309|     34220|     98811|     34213|     34522|
|       139|       183|       232|     34529|     55638|     34522|     34754|
|       152|       184|       466|     34761|    215479|     34754|     35220|
|        92|       187|       310|     35227|    100666|     35220|     35530|
|       123|       189|       302|     35537|     92412|     35530|     35832|
|       148|       189|       229|     35839|     54250|     35832|     36061|
|       138|       190|       434|     36068|    192976|     36061|     36495|
|       131|       191|       296|     36502|     87933|     36495|     36791|
|       151|       192|        64|     36798|      3896|     36791|     36855|
|       129|       193|       309|     36862|     99120|     36855|     37164|
|       112|       194|       214|     37171|     48459|     37164|     37378|
|       161|       194|       186|     37385|     37898|     37378|     37564|
|       108|       195|       496|     37571|    239623|     37564|     38060|
|       130|       197|       141|     38067|     21999|     38060|     38201|
|       188|       197|       461|     38208|    212695|     38201|     38662|
|       149|       198|       289|     38669|     83834|     38662|     38951|
|       165|       199|        14|     38958|       213|     38951|     38965|
|       114|       203|       125|     38972|     16749|     38965|     39090|
|       172|       204|       228|     39097|     54021|     39090|     39318|
|       107|       205|       481|     39325|    225917|     39318|     39799|
|       168|       206|       141|     39806|     22140|     39799|     39940|
|       142|       207|       323|     39947|    107334|     39940|     40263|
|       164|       210|        27|     40270|       266|     40263|     40290|
|       186|       210|       133|     40297|     20491|     40290|     40423|
