------------------------------------------------------------------------------
|      Name|   Arrival|     Burst|     Start|    Finish|   Waiting|TurnAround|
|       119|       164|       273|     29209|     29482|     29045|     29318|
|       160|       166|       250|     29482|     29732|     29316|     29566|
|       150|       168|       183|     29732|     29915|     29564|     29747|
|        73|       169|       137|     29915|     30052|     29746|     29883|
|        87|       169|       347|     30052|     30399|     29883|     30230|
|       132|       169|        73|     30399|     30472|     30230|     30303|
|       128|       170|       370|     30472|     30842|     30302|     30672|
|       144|       170|       459|     30842|     31301|     30672|     31131|
|        74|       171|       103|     31301|     31404|     31130|     31233|
|        90|       174|       373|     31404|     31777|     31230|     31603|
|       115|       174|       190|     31777|     31967|     31603|     31793|
|        81|       175|       464|     31967|     32431|     31792|     32256|
|        82|       175|       250|     32431|     32681|     32256|     32506|
|       141|       178|       309|     32681|     32990|     32503|     32812|
|       158|       178|       299|     32990|     33289|     32812|     33111|
|       175|       178|        99|     33289|     33388|     33111|     33210|
|       177|       178|        75|     33388|     33463|     33210|     33285|
|       140|       179|       328|     33463|     33791|     33284|     33612|
|       124|       180|       145|     33791|     33936|     33611|     33756|
|       170|       180|       263|     33936|     34199|     33756|     34019|
|       111|       181|        21|     34199|     34220|     34018|     34039|
|       103|       182|       309|     34220|     34529|     34038|     34347|
|       139|       183|       232|     34529|     34761|     34346|     34578|
|       152|       184|       466|     34761|     35227|     34577|     35043|
|        92|       187|       310|     35227|     35537|     35040|     35350|
|       123|       189|       302|     35537|     35839|     35348|     35650|
|       148|       189|       229|     35839|     36068|     35650|     35879|
|       138|       190|       434|     36068|     36502|     35878|     36312|
|       131|       191|       296|     36502|     36798|     36311|     36607|
|       151|       192|        64|     36798|     36862|     36606|     36670|
|       129|       193|       309|     36862|     37171|     36669|     36978|
|       112|       194|       214|     37171|     37385|     36977|     37191|
|       161|       194|       186|     37385|     37571|     37191|     37377|
|       108|       195|       496|     37571|     38067|     37376|     37872|
|       130|       197|       141|     38067|     38208|     37870|     38011|
|       188|       197|       461|     38208|     38669|     38011|     38472|
|       149|       198|       289|     38669|     38958|     38471|     38760|
|       165|       199|        14|     38958|     38972|     38759|     38773|
|       114|       203|       125|     38972|     39097|     38769|     38894|
|       172|       204|       228|     39097|     39325|     38893|     39121|
|       107|       205|       481|     39325|     39806|     39120|     39601|
|       168|       206|       141|     39806|     39947|     39600|     39741|
|       142|       207|       323|     39947|     40270|     39740|     40063|
|       164|       210|        27|     40270|     40297|     40060|     40087|
|       186|       210|       133|     40297|     40430|     40087|     40220|
|       174|       212|        98|     40430|     40528|     40218|     40316|
|       126|       216|       297|     40528|     40825|     40312|     40609|
|       153|       218|       191|     40825|     41016|     40607|     40798|
|       182|       218|        56|     41016|     41072|     40798|     40854|
|       190|       218|        45|     41072|     41117|     40854|     40899|
|       156|       219|       370|     41117|     41487|     40898|     41268|
|       155|       221|       305|     41487|     41792|     41266|     41571|
|       173|       221|       470|     41792|     42262|     41571|     42041|
|       181|       221|       390|     42262|     42652|     42041|     42431|
|       222|       221|       147|     42652|     42799|     42431|     42578|
|       147|       224|       320|     42799|     43119|     42575|     42895|
|       187|       225|       351|     43119|     43470|     42894|     43245|
|       136|       226|        82|     43470|     43552|     43244|     43326|
|       191|       226|       244|     43552|     43796|     43326|     43570|
|       218|       226|       188|     43796|     43984|     43570|     43758|
|       135|       227|       384|     43984|     44368|     43757|     44141|
|       209|       227|       143|     44368|     44511|     44141|     44284|
|       198|       228|       206|     44511|     44717|     44283|     44489|
|       224|       228|       127|     44717|     44844|     44489|     44616|
|       184|       230|       273|     44844|     45117|     44614|     44887|
|       214|       230|        35|     45117|     45152|     44887|     44922|
|       185|       232|       295|     45152|     45447|     44920|     45215|
|       195|       232|       258|     45447|     45705|     45215|     45473|
|       211|       233|       103|     45705|     45808|     45472|     45575|
|       221|       233|       177|     45808|     45985|     45575|     45752|
|       226|       233|       417|     45985|     46402|     45752|     46169|
|       205|       235|        56|     46402|     46458|     46167|     46223|
|       166|       236|       374|     46458|     46832|     46222|     46596|
|       215|       236|       112|     46832|     46944|     46596|     46708|
|       162|       238|       203|     46944|     47147|     46706|     46909|
|       189|       241|       140|     47147|     47287|     46906|     47046|
|       233|       241|        10|     47287|     47297|     47046|     47056|
|       208|       243|       122|     47297|     47419|     47054|     47176|
|       225|       243|       122|     47419|     47541|     47176|     47298|
|       240|       243|       220|     47541|     47761|     47298|     47518|
|       231|       245|       306|     47761|     48067|     47516|     47822|
|       238|       245|       495|     48067|     48562|     47822|     48317|
|       163|       246|        24|     48562|     48586|     48316|     48340|
|       216|       246|       299|     48586|     48885|     48340|     48639|
|       199|       248|        64|     48885|     48949|     48637|     48701|
|       154|       249|       419|     48949|     49368|     48700|     49119|
|       176|       249|       346|     49368|     49714|     49119|     49465|
|       219|       249|       242|     49714|     49956|     49465|     49707|
|       250|       249|       391|     49956|     50347|     49707|     50098|
|       157|       250|       311|     50347|     50658|     50097|     50408|
|       223|       250|       190|     50658|     50848|     50408|     50598|
|       171|       251|       426|     50848|     51274|     50597|     51023|
|       193|       251|       262|     51274|     51536|     51023|     51285|
|       201|       251|        23|     51536|     51559|     51285|     51308|
|       180|       252|       264|     51559|     51823|     51307|     51571|
|       249|       252|        97|     51823|     51920|     51571|     51668|
|       202|       253|        95|     51920|     52015|     51667|     51762|
|       206|       253|       465|     52015|     52480|     51762|     52227|
|       167|       254|       390|     52480|     52870|     52226|     52616|
|       169|       254|       329|     52870|     53199|     52616|     52945|
|       239|       254|       309|     53199|     53508|     52945|     53254|
|       183|       258|       321|     53508|     53829|     53250|     53571|
|       204|       259|       380|     53829|     54209|     53570|     53950|
|       241|       261|        18|     54209|     54227|     53948|     53966|
|       178|       264|       242|     54227|     54469|     53963|     54205|
|       192|       266|       465|     54469|     54934|     54203|     54668|
|       234|       266|       198|     54934|     55132|     54668|     54866|
|       194|       267|        67|     55132|     55199|     54865|     54932|
|       203|       269|       479|     55199|     55678|     54930|     55409|
|       207|       269|       408|     55678|     56086|     55409|     55817|
|       179|       270|        73|     56086|     56159|     55816|     55889|
|       220|       270|        99|     56159|     56258|     55889|     55988|
|       228|       271|       137|     56258|     56395|     55987|     56124|
|       263|       271|       443|     56395|     56838|     56124|     56567|
|       213|       274|       324|     56838|     57162|     56564|     56888|
|       260|       276|       303|     57162|     57465|     56886|     57189|
|       266|       276|        30|     57465|     57495|     57189|     57219|
|       230|       278|       281|     57495|     57776|     57217|     57498|
|       277|       278|        94|     57776|     57870|     57498|     57592|
|       200|       280|       246|     57870|     58116|     57590|     57836|
|       232|       281|       161|     58116|     58277|     57835|     57996|
|       265|       285|       174|     58277|     58451|     57992|     58166|
|       275|       285|         4|     58451|     58455|     58166|     58170|
|       212|       287|       440|     58455|     58895|     58168|     58608|
|       247|       288|       176|     58895|     59071|     58607|     58783|
|       254|       288|       195|     59071|     59266|     58783|     58978|
|       284|       288|       278|     59266|     59544|     58978|     59256|
|       210|       291|       383|     59544|     59927|     59253|     59636|
|       227|       292|       455|     59927|     60382|     59635|     60090|
|       196|       294|       428|     60382|     60810|     60088|     60516|
|       197|       294|        61|     60810|     60871|     60516|     60577|
|       278|       294|       481|     60871|     61352|     60577|     61058|
|       289|       294|        93|     61352|     61445|     61058|     61151|
|       257|       298|       256|     61445|     61701|     61147|     61403|
|       255|       299|       212|     61701|     61913|     61402|     61614|
|       287|       299|       497|     61913|     62410|     61614|     62111|
|       235|       300|       384|     62410|     62794|     62110|     62494|
|       293|       300|       224|     62794|     63018|     62494|     62718|
|       253|       301|       436|     63018|     63454|     62717|     63153|
|       259|       302|       317|     63454|     63771|     63152|     63469|
|       271|       302|       151|     63771|     63922|     63469|     63620|
|       282|       302|        39|     63922|     63961|     63620|     63659|
|       269|       304|       289|     63961|     64250|     63657|     63946|
|       252|       306|       372|     64250|     64622|     63944|     64316|
|       262|       308|       355|     64622|     64977|     64314|     64669|
|       267|       308|       429|     64977|     65406|     64669|     65098|
|       281|       308|       159|     65406|     65565|     65098|     65257|
|       217|       309|        42|     65565|     65607|     65256|     65298|
|       286|       309|       206|     65607|     65813|     65298|     65504|
|       229|       310|       490|     65813|     66303|     65503|     65993|
|       261|       310|       299|     66303|     66602|     65993|     66292|
|       288|       310|       358|     66602|     66960|     66292|     66650|
|       301|       311|       247|     66960|     67207|     66649|     66896|
|       248|       312|       188|     67207|     67395|     66895|     67083|
|       244|       315|       221|     67395|     67616|     67080|     67301|
|       236|       316|       177|     67616|     67793|     67300|     67477|
|       245|       320|       330|     67793|     68123|     67473|     67803|
|       237|       323|       378|     68123|     68501|     67800|     68178|
|       251|       323|       387|     68501|     68888|     68178|     68565|
|       242|       326|        56|     68888|     68944|     68562|     68618|
|       272|       330|       429|     68944|     69373|     68614|     69043|
|       291|       330|        55|     69373|     69428|     69043|     69098|
|       300|       330|       182|     69428|     69610|     69098|     69280|
|       315|       331|       220|     69610|     69830|     69279|     69499|
|       246|       334|       435|     69830|     70265|     69496|     69931|
|       294|       334|       150|     70265|     70415|     69931|     70081|
|       304|       335|       409|     70415|     70824|     70080|     70489|
|       279|       337|         1|     70824|     70825|     70487|     70488|
|       243|       338|       332|     70825|     71157|     70487|     70819|
|       258|       339|       132|     71157|     71289|     70818|     70950|
|       317|       339|       116|     71289|     71405|     70950|     71066|
|       276|       340|       333|     71405|     71738|     71065|     71398|
|       325|       340|       103|     71738|     71841|     71398|     71501|
|       274|       341|        50|     71841|     71891|     71500|     71550|
|       280|       342|       400|     71891|     72291|     71549|     71949|
|       302|       342|       360|     72291|     72651|     71949|     72309|
|       312|       343|       471|     72651|     73122|     72308|     72779|
